ID,Name,Nationality,Age,Overall rating,Team & Contract,Height,Weight,foot,Best position,Value,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending,Body type
1658,T. Lauritsen,Norway,27,73,Sparta Rotterdam,196.0,83.0,Right,ST,3.3,353,263,272,382,319,112,Lean
1659,Pepelu,Spain,26,76,Valencia CF,185.0,73.0,Right,CM,9.0,346,386,338,376,375,222,Normal
1660,25R. Manaj,Albania,27,76,Sivasspor,182.0,76.0,Right,ST,8.0,343,353,347,373,290,92,Normal
1661,A. Lookman,Nigeria,27,83,Atlético Madrid,174.0,71.0,Right,CF,39.5,381,360,426,385,336,77,Lean
1662,T. Chalobah,England,25,80,Chelsea,192.0,84.0,Right,CB,23.5,313,328,323,363,320,240,Lean
1663,N. Nández,Uruguay,29,77,Al Qadsiah FC,172.0,70.0,Right,CDM,10.5,338,355,417,377,373,226,Normal
1664,J. Lucumí,Colombia,27,76,Bologna,187.0,85.0,Left,CB,8.0,259,282,304,348,272,231,Stocky
1665,P. Vindahl,Denmark,27,75,Sparta Praha,195.0,84.0,Right,GK,5.0,109,131,232,238,143,58,Normal
1666,R. Nelson,England,25,75,Brentford,175.0,70.0,Right,RM,6.5,313,356,388,300,287,105,Lean
1667,A. Tuanzebe,Congo DR,27,73,Burnley,185.0,75.0,Right,CB,2.8,270,285,358,315,316,215,Normal
1668,L. Kelly,England,26,78,Juventus,190.0,86.0,Left,CB,15.5,296,315,323,344,331,238,Lean
1669,Y. Andzouana,Congo,28,66,Konyaspor,179.0,70.0,Right,RM,0.775,295,297,375,333,284,175,Lean
1670,J. Justin,England,27,76,Leeds United,183.0,80.0,Right,RB,7.0,326,331,367,329,321,218,Normal
1671,R. Del Castillo,France,29,76,Stade Brestois,172.0,65.0,Left,RM,7.5,351,381,403,353,336,123,Normal
1672,U. Sadiq,Nigeria,28,76,Valencia CF,192.0,85.0,Right,ST,7.5,349,310,344,406,280,94,Lean
1673,A. Lafont,Côte d'Ivoire,26,74,Panathinaikos FC,196.0,90.0,Right,GK,4.0,95,100,271,238,107,46,Lean
1674,M. Lis,Poland,28,74,Göztepe SK,192.0,83.0,Right,GK,3.6,61,63,183,216,95,30,Normal
1675,Toni Lato,Spain,27,73,RCD Mallorca,171.0,64.0,Left,LB,2.9,324,327,375,308,305,209,Normal
1676,C. Brittain,England,27,73,Middlesbrough,179.0,77.0,Right,RB,2.9,293,319,381,334,316,202,Normal
1677,A. Donkor,Germany,27,65,FC Schalke,186.0,84.0,Left,LB,0.7000000000000001,297,288,358,380,284,170,Stocky
1678,K. Tsimikas,Greece,29,77,Roma,179.0,77.0,Left,LB,9.5,307,368,383,351,357,225,Normal
1679,S. Ascacíbar,Argentina,28,77,Boca Juniors,169.0,68.0,Right,CDM,9.5,350,333,397,381,368,226,Normal
1680,25C. Goddard,Japan,27,60,SC Delhi,178.0,70.0,Left,CAM,0.25,268,273,346,254,240,89,Normal
1681,24T. Fosu-Mensah,Netherlands,25,72,Bayer 04 Leverkusen,185.0,85.0,Right,CB,2.9,319,288,346,358,319,220,Stocky
1682,L. Jović,Serbia,27,77,AEK Athens,182.0,87.0,Right,ST,11.5,371,346,370,385,316,78,Stocky
1683,Caio Henrique,Brazil,27,77,AS Monaco,178.0,70.0,Left,LB,10.0,328,380,374,333,342,218,Lean
1684,W. Endo,Japan,32,79,Liverpool,178.0,76.0,Right,CDM,11.5,319,326,342,378,365,232,Normal
1685,Gabriel,Brazil,27,89,Arsenal,190.0,87.0,Left,CB,104.0,282,299,305,349,344,268,Normal
1686,T. Asano,Japan,30,74,RCD Mallorca,173.0,71.0,Right,RW,4.1,340,303,417,362,288,96,Normal
1687,R. Doan,Japan,27,81,Eintracht Frankfurt,172.0,70.0,Left,RM,27.5,354,381,425,367,304,126,Normal
1688,D. Kamada,Japan,28,78,Crystal Palace,184.0,72.0,Right,CM,14.0,351,387,378,334,385,192,Lean
1689,S. Colombatto,Argentina,28,72,Real Oviedo,180.0,71.0,Left,CDM,2.1,339,363,353,375,367,207,Normal
1690,M. Muheim,Switzerland,27,75,Hamburger SV,182.0,77.0,Left,LB,5.5,321,367,360,375,337,217,Lean
1691,K. Machida,Japan,27,75,TSG,190.0,80.0,Left,CB,5.0,251,237,312,345,282,221,Lean
1692,T. Kanamori,Japan,31,64,Melbourne City FC,171.0,74.0,Right,RM,0.47500000000000003,287,268,393,342,248,91,Lean
1693,24J. Riley,England,26,59,Walsall,183.0,71.0,Right,RWB,0.22,251,278,339,310,265,158,Normal
1694,M. Yamane,Japan,31,71,LA Galaxy,178.0,72.0,Right,RB,1.4,325,289,338,355,303,204,Normal
1695,C. Addai,Jamaica,27,65,Stockport County,203.0,77.0,Right,GK,0.65,77,112,150,202,101,44,Normal
1696,A. Meret,Italy,28,82,Napoli,192.0,82.0,Left,GK,26.0,101,107,261,233,125,46,Lean
1697,N. Haas,Switzerland,29,68,Empoli,181.0,74.0,Right,CAM,1.2,311,323,379,322,321,189,Lean
1698,M. Rasmussen,Norway,27,73,FC St. Pauli,180.0,71.0,Left,CAM,3.2,329,358,382,353,313,195,Lean
1699,J. Hendry,Scotland,30,72,Al Ettifaq,195.0,88.0,Right,CB,1.9,277,295,332,383,297,200,Lean
1700,18T. Owen-Evans,Wales,20,56,Newport County,180.0,66.0,Right,RM,0.2,226,229,340,277,233,135,Normal
1701,G. Rodríguez,Argentina,31,76,Valencia CF,185.0,80.0,Right,CDM,5.0,299,344,257,360,351,230,Normal
1702,A. Golovin,Russia,29,79,AS Monaco,178.0,69.0,Right,CAM,17.0,348,403,385,355,366,183,Lean
1703,C. Chaplin,England,28,71,Portsmouth,168.0,69.0,Left,CAM,1.9,340,342,391,319,314,131,Normal
1704,M. Burgess,Australia,30,64,Newcastle Jets,185.0,70.0,Left,LM,0.55,284,296,356,349,301,167,Lean
1705,A. Maitland-Niles,England,27,77,Olympique Lyonnais,180.0,71.0,Right,RB,10.0,331,345,375,351,370,224,Lean
1706,B. Rovira,Colombia,28,71,Deportes Tolima,177.0,82.0,Right,CB,1.6,279,308,310,359,345,214,Normal
1707,R. Raveloson,Madagascar,28,71,BSC Young Boys,182.0,73.0,Right,CM,1.9,327,324,363,390,315,205,Lean
1708,25R. Oxford,England,25,72,FC Augsburg,193.0,86.0,Right,CB,2.3,231,259,293,278,280,220,Lean
1709,17G. Camara,Guinea,20,65,Brescia,177.0,69.0,Right,RW,0.8250000000000001,268,291,370,280,235,78,Normal
1710,19A. Gnoukouri,Côte d'Ivoire,21,68,Inter,180.0,71.0,Right,CDM,1.3,303,308,312,312,308,202,Lean
1711,C. Adams,Scotland,28,78,Torino,175.0,70.0,Right,ST,14.5,349,336,396,385,327,121,Stocky
1712,E. Buendía,Argentina,28,78,Aston Villa,172.0,72.0,Right,CAM,14.0,380,395,389,359,361,196,Stocky
1713,F. Dimarco,Italy,27,86,Inter,174.0,75.0,Left,LB,65.5,405,420,414,410,399,240,Normal
1714,Fabián Ruiz,Spain,29,85,Paris Saint-Germain,189.0,70.0,Left,CM,52.5,368,387,340,381,382,225,Lean
1715,U. Çakır,Türkiye,29,80,Galatasaray SK,191.0,82.0,Right,GK,16.0,120,142,308,261,166,51,Normal
1716,G. Martínez,Argentina,32,73,Tigre,172.0,75.0,Left,CAM,2.4,332,384,361,299,309,110,Normal
1717,H. ter Avest,Netherlands,28,68,Oxford United,182.0,78.0,Right,RB,1.1,284,290,334,318,296,193,Lean
1718,Fornals,Spain,29,81,Real Betis Balompié,178.0,67.0,Right,CM,25.0,365,396,363,365,373,226,Lean
1719,K. Tierney,Scotland,28,77,Celtic,180.0,73.0,Left,LB,9.5,307,350,377,359,349,229,Lean
1720,G. Taylor,Scotland,27,73,PAOK,171.0,62.0,Left,LB,2.9,302,348,376,345,342,213,Lean
1721,I. Hagi,Romania,26,72,Alanyaspor,182.0,72.0,Right,CAM,2.8,337,376,338,343,305,102,Normal
1722,T. Minamino,Japan,30,78,AS Monaco,172.0,67.0,Right,LM,13.5,353,373,408,345,341,106,Normal
1723,15A. Sevillano,Colombia,29,56,Deportivo Pasto,179.0,75.0,Right,RWB,0.08,198,214,313,228,224,166,Lean
1724,I. Bennacer,Algeria,27,80,Dinamo Zagreb,175.0,70.0,Left,CDM,20.0,355,401,402,379,379,232,Normal
1725,C. Roldan,United States,30,75,Seattle Sounders FC,172.0,75.0,Right,CB,4.7,342,318,390,379,362,219,Normal
1726,Gelson Martins,Portugal,30,78,Olympiacos FC,170.0,74.0,Right,RM,13.5,338,372,420,344,323,153,Lean
1727,M. Cash,Poland,27,81,Aston Villa,185.0,74.0,Right,RB,25.0,346,348,369,370,348,238,Normal
1728,16A. O'Kelly,Antigua and Barbuda,17,44,Newport County,180.0,72.0,Right,RB,0.06,165,135,311,208,169,134,Lean
1729,A. Zambo Anguissa,Cameroon,29,83,Napoli,184.0,83.0,Right,CM,35.5,362,365,381,418,388,235,Normal
1730,G. Berggren,Sweden,27,71,New York Red Bulls,187.0,80.0,Right,CDM,2.0,305,317,320,357,338,202,Normal
1731,24B. Ramselaar,Netherlands,27,71,FC Utrecht,178.0,74.0,Right,LW,2.0,319,340,392,341,314,154,Normal
1732,E. Konsa,England,27,84,Aston Villa,185.0,77.0,Right,CB,42.5,350,327,370,347,327,259,Lean
1733,J. Jones,Malta,27,64,Notts County,177.0,72.0,Left,LM,0.5750000000000001,284,312,407,286,282,162,Normal
1734,O. Zinchenko,Ukraine,28,77,Ajax,175.0,64.0,Left,LB,9.5,348,394,361,338,363,227,Lean
1735,20E. Yao,Côte d'Ivoire,23,65,FC Lugano,182.0,76.0,Right,CB,0.675,205,221,303,305,243,186,Lean
1736,D. Burnić,Bosnia and Herzegovina,27,69,Karlsruher SC,181.0,73.0,Left,CM,1.5,301,302,371,336,318,197,Normal
1737,R. Curtis,Republic of Ireland,29,65,Plymouth Argyle,182.0,77.0,Right,RM,0.7000000000000001,298,306,349,348,308,137,Lean
1738,R. Hepburn-Murphy,England,26,63,Milton Keynes Dons,173.0,65.0,Right,ST,0.5750000000000001,280,271,402,269,232,64,Lean
1739,J. Cullen,Republic of Ireland,29,77,Burnley,175.0,70.0,Right,CDM,9.0,322,368,358,356,348,223,Normal
1740,L. Jackson,Australia,30,66,Melbourne Victory,196.0,90.0,Left,CB,0.7000000000000001,209,195,214,292,216,193,Normal
1741,19R. Lacazette,Saint Martin (French part),24,65,TSV,175.0,73.0,Right,CB,0.625,292,272,353,356,304,179,Stocky
1742,N. Loosli,Switzerland,28,68,VfL Bochum,186.0,85.0,Right,CB,1.0,247,225,313,325,230,202,Normal
1743,M. Wanitzek,Germany,32,75,Karlsruher SC,179.0,74.0,Right,CM,4.4,348,375,369,374,352,184,Lean
1744,17K. Parselle,England,19,53,Newport County,180.0,75.0,Left,CB,0.11,184,187,321,248,203,156,Lean
1745,K. Grabara,Poland,26,81,VfL Wolfsburg,195.0,85.0,Right,GK,26.0,120,148,245,253,158,63,Normal
1746,F. Mendy,France,30,81,Real Madrid,180.0,73.0,Left,LB,22.0,330,340,403,385,355,236,Unique
1747,L. Görtler,Germany,31,72,FC St. Gallen,186.0,80.0,Right,CM,1.9,347,334,350,367,352,168,Normal
1748,F. de Jong,Netherlands,28,87,FC Barcelona,181.0,74.0,Right,CM,79.5,385,409,416,379,375,231,Unique
1749,V. Marchetti,France,27,70,Paris FC,178.0,71.0,Left,CM,1.7,310,328,338,340,322,204,Normal
1750,Aleix García,Spain,28,84,Bayer 04 Leverkusen,173.0,68.0,Right,CM,42.0,360,423,379,362,368,230,Normal
1751,A. Green,England,26,66,AVS Futebol SAD,180.0,71.0,Right,RM,0.925,298,295,357,318,246,109,Normal
1752,D. Calabria,Italy,28,77,Panathinaikos FC,177.0,70.0,Right,RB,9.5,321,333,390,340,318,229,Normal
1753,22V. Guzmán,Mexico,26,75,Pachuca,175.0,79.0,Right,CAM,6.5,344,355,378,382,352,204,Normal
1754,P. Hatzidiakos,Greece,28,71,FC København,185.0,78.0,Right,CB,1.6,308,298,328,345,303,209,Normal
1755,M. Rashica,Kosovo,29,74,Beşiktaş JK,177.0,73.0,Right,RM,4.1,340,364,392,368,339,169,Normal
1756,J. Bednarek,Poland,29,80,FC Porto,189.0,77.0,Right,CB,17.5,245,267,276,285,276,240,Normal
1757,H. Wilson,Wales,28,80,Fulham FC,173.0,70.0,Left,RM,21.0,391,406,399,369,321,129,Normal
1758,16E. Redman,Wales,18,44,Newport County,184.0,81.0,Right,CB,0.05,136,122,275,225,157,122,Stocky
1759,Marco Asensio,Spain,29,80,Fenerbahçe SK,182.0,76.0,Left,CAM,20.5,379,408,379,373,320,125,Normal
1760,14K. Morris,England,18,47,Brentford,183.0,72.0,Right,CB,0.02,134,113,267,244,177,145,Lean
1761,David Raya,Spain,29,87,Arsenal,183.0,83.0,Right,GK,54.5,133,162,320,212,149,55,Normal
1762,22R. Vloet,Netherlands,26,72,Heracles Almelo,188.0,75.0,Right,ST,2.9,349,348,320,362,340,134,Lean
1763,D. Kownacki,Poland,28,71,Hertha BSC,186.0,81.0,Right,ST,1.9,330,307,356,355,322,78,Normal
1764,J. Quintero,Colombia,30,69,Independiente Santa Fe,184.0,81.0,Right,CB,1.1,225,198,282,281,256,196,Stocky
1765,Maffeo,Argentina,27,78,RCD Mallorca,172.0,70.0,Right,RB,13.5,296,343,390,345,315,232,Normal
1766,D. van de Beek,Netherlands,28,75,Girona FC,184.0,76.0,Right,CAM,5.5,356,375,329,343,360,211,Unique
1767,Wu Lei,China PR,33,69,Shanghai Port,176.0,68.0,Right,ST,0.875,330,326,390,350,312,99,Lean
1768,21Carlos Abad,Spain,25,67,CD Tenerife,193.0,88.0,Right,GK,1.3,95,105,233,239,136,46,Normal
1769,Lee Jae Sung,Korea Republic,32,76,1. FSV Mainz,181.0,74.0,Left,CAM,6.0,371,350,385,370,335,189,Lean
1770,O. Watkins,England,29,82,Aston Villa,180.0,70.0,Right,ST,30.5,396,357,385,412,367,127,Normal
1771,E. Thommy,Germany,30,72,LA Galaxy,175.0,71.0,Right,CAM,2.3,324,362,377,321,298,141,Normal
1772,A. Armstrong,England,28,73,Wolverhampton Wanderers,173.0,69.0,Right,ST,3.1,347,330,388,359,332,84,Normal
1773,J. Fulton,Scotland,31,68,Swansea City,185.0,80.0,Right,CDM,0.85,291,316,309,333,314,197,Normal
1774,J. Weigl,Germany,29,78,Al Qadsiah FC,186.0,77.0,Right,CDM,12.0,339,351,331,355,346,216,Lean
1775,M. Locatelli,Italy,27,84,Juventus,185.0,75.0,Right,CDM,43.0,356,380,335,394,390,247,Normal
1776,T. Adarabioyo,England,27,78,Chelsea,197.0,80.0,Right,CB,14.0,266,296,289,350,287,235,Lean
1777,18Q. N'Gakoutou,Central African Republic,23,61,AS Monaco,178.0,71.0,Right,ST,0.35000000000000003,263,246,334,307,217,44,Normal
1778,H. Winks,England,29,72,Leicester City,176.0,65.0,Right,CDM,2.0,298,361,316,325,340,206,Normal
1779,25M. Normann,Norway,28,68,Al Raed,179.0,75.0,Right,CM,1.2,297,340,349,372,319,192,Stocky
1780,Ivi López,Spain,31,71,Raków Częstochowa,174.0,70.0,Right,CAM,1.6,335,368,353,336,313,105,Normal
1781,T. Castagne,Belgium,29,75,Fulham FC,185.0,80.0,Right,RB,4.9,318,307,343,336,332,220,Lean
1782,R. Rúnarsson,Iceland,30,66,FC København,186.0,78.0,Right,GK,0.5750000000000001,80,103,211,188,115,44,Normal
1783,Malcom,Brazil,28,82,Al Hilal,172.0,74.0,Left,RW,30.5,377,403,438,403,310,123,Stocky
1784,21F. Görgülü,Türkiye,28,62,FC Emmen,184.0,77.0,Left,CB,0.35000000000000003,206,243,265,215,268,195,Lean
1785,16T. Leggett,Wales,19,55,Aston Villa,178.0,73.0,Right,CB,0.14,200,210,279,226,242,185,Lean
1786,U. Garcia,Switzerland,29,74,Sassuolo,182.0,73.0,Left,LB,3.7,269,301,377,345,288,217,Normal
1787,O. Tufan,Türkiye,30,72,Trabzonspor,184.0,88.0,Right,CM,2.2,347,357,361,399,369,208,Normal
1788,R. Dickie,England,29,73,Bristol City,195.0,74.0,Right,CB,2.5,247,250,271,361,266,220,Normal
1789,24Ş. Özbayraklı,Türkiye,33,67,Medipol Başakşehir FK,171.0,71.0,Right,RB,0.525,284,306,353,339,290,195,Stocky
1790,E. Ünal,Türkiye,28,76,AFC Bournemouth,187.0,78.0,Right,ST,7.5,361,364,333,369,332,111,Normal
1791,15N. Perez,France,23,60,Royal Excel Mouscron,180.0,79.0,Right,ST,0.23,273,235,326,307,254,75,Normal
1792,Joelinton,Brazil,28,81,Newcastle United,186.0,81.0,Right,CM,25.5,371,343,365,416,394,240,Stocky
1793,O. Johansson Schellhas,Sweden,30,67,Hammarby Fotboll,178.0,73.0,Right,RM,0.975,273,316,352,312,293,155,Normal
1794,R. Aguilar,France,32,77,RC Lens,172.0,69.0,Right,RB,7.5,306,312,365,341,339,226,Normal
1795,15C. Riveros,Chile,20,58,AC Barnechea,164.0,64.0,Left,LM,0.12,231,255,371,251,300,165,Normal
1796,W. Weghorst,Netherlands,32,77,Ajax,197.0,83.0,Right,ST,8.5,355,284,268,405,362,161,Normal
1797,V. Muriqi,Kosovo,31,81,RCD Mallorca,194.0,92.0,Left,ST,22.0,370,336,267,416,338,76,Normal
1798,S. Kingsley,Scotland,30,68,Hearts,178.0,77.0,Left,LB,1.0,292,347,316,340,296,200,Normal
1799,H. Matthys,Belgium,29,66,Motor Lublin,186.0,77.0,Left,CB,0.725,260,280,311,307,281,200,Stocky
1800,L. Torreira,Uruguay,29,82,Galatasaray SK,166.0,60.0,Right,CDM,26.0,358,374,395,384,379,241,Normal
1801,K. Phillips,England,29,74,Sheffield United,178.0,72.0,Right,CDM,3.6,323,349,315,337,344,219,Normal
1802,T. Ebuehi,Nigeria,29,71,Empoli,187.0,72.0,Right,RB,1.6,286,281,378,303,294,200,Lean
1803,K. Ajer,Norway,27,76,Brentford,196.0,84.0,Right,CB,7.5,313,309,300,347,318,226,Normal
1804,20D. Altobelli,Italy,26,63,US Salernitana,188.0,83.0,Right,CDM,0.45,248,290,288,323,283,178,Normal
1805,Fábio Martins,Portugal,31,76,Al Hazem FC,178.0,75.0,Right,LW,6.0,348,359,394,371,340,137,Lean
1806,Guedes,Portugal,28,78,Real Sociedad,179.0,68.0,Right,CF,14.0,376,369,396,377,344,88,Normal
1807,J. Otero,Colombia,30,74,Real Sporting de Gijón,182.0,80.0,Right,ST,4.1,345,355,404,408,298,76,Normal
1808,H. Belkebla,Algeria,31,75,Angers SCO,177.0,68.0,Right,CDM,3.9,283,340,289,327,334,217,Lean
1809,G. Jones,Australia,29,64,Milton Keynes Dons,178.0,74.0,Right,CB,0.5,260,267,343,333,293,187,Normal
1810,O. Pineda,Mexico,29,77,AEK Athens,170.0,65.0,Right,CAM,10.5,357,360,419,368,371,220,Normal
1811,25S. Miangue,Belgium,27,66,Cercle Brugge KSV,197.0,81.0,Left,CB,0.8250000000000001,288,319,268,345,303,193,Lean
1812,J. Tah,Germany,29,87,FC Bayern München,195.0,94.0,Right,CB,66.5,291,262,298,339,301,261,Stocky
1813,L. Abergel,France,32,76,FC Lorient,170.0,65.0,Right,CDM,5.0,276,320,354,345,322,219,Normal
1814,T. Lemar,France,29,77,Girona FC,171.0,63.0,Left,CAM,10.5,361,402,384,342,362,200,Lean
1815,P. Højbjerg,Denmark,29,81,Olympique de Marseille,187.0,81.0,Right,CDM,22.0,347,378,300,400,368,232,Normal
1816,A. Christensen,Denmark,29,80,FC Barcelona,189.0,82.0,Right,CB,17.5,271,301,339,283,283,246,Lean
1817,R. Loftus-Cheek,England,29,80,AC Milan,191.0,88.0,Right,ST,20.5,380,371,376,408,368,221,Normal
1818,Adama Traoré,Spain,29,75,West Ham United,179.0,86.0,Right,RM,5.5,305,324,415,380,297,107,Unique
1819,24Y. Murillo,Colombia,30,67,Deportivo Binacional,183.0,70.0,Left,CB,0.8250000000000001,250,261,341,312,308,197,Normal
1820,20E. Córdoba,Colombia,25,64,Águilas Doradas,176.0,75.0,Right,RB,0.5,220,248,371,286,244,179,Normal
1821,19C. Saiz,Colombia,26,70,Independiente Medellín,185.0,79.0,Right,CB,1.8,231,201,229,256,237,203,Normal
1822,14J. Solano,Colombia,21,56,Boyacá Chicó FC,184.0,85.0,Right,RM,0.09,257,274,261,298,193,87,Stocky
1823,14E. Polanco,Colombia,19,55,Deportes Quindío,173.0,70.0,Right,RM,0.08,207,250,331,288,252,150,Normal
1824,24J. Zuluaga,Colombia,30,70,Deportivo Pereira,176.0,67.0,Right,RWB,1.5,300,303,377,331,311,193,Lean
1825,G. Celis,Colombia,32,69,Junior FC,178.0,73.0,Right,CDM,0.925,263,277,331,298,305,195,Normal
1826,26J. Malagón,Colombia,32,68,Once Caldas,185.0,77.0,Right,CB,0.775,199,193,293,290,218,208,Lean
1827,24F. Aguilar,Colombia,30,72,Independiente,190.0,82.0,Right,CB,1.9,221,225,233,335,274,213,Lean
1828,23M. Duarte,Colombia,30,68,Central Cordoba SdE,170.0,67.0,Left,LB,1.0,319,344,382,373,303,188,Normal
1829,L. Díaz,Argentina,33,74,Atlético Tucumán,184.0,85.0,Right,ST,2.7,338,311,328,379,310,60,Normal
1830,J. Musso,Argentina,31,80,Atlético Madrid,191.0,93.0,Right,GK,11.0,107,88,240,242,137,42,Normal
1831,A. Sowe,Gambia,31,70,Çaykur Rizespor,191.0,84.0,Right,ST,1.3,315,306,355,373,284,77,Normal
1832,S. Guirassy,Guinea,29,85,Borussia Dortmund,187.0,82.0,Right,ST,54.0,400,380,381,429,356,122,Normal
1833,20K. Karami,Netherlands,29,65,Sparta Rotterdam,181.0,73.0,Right,RB,0.45,256,281,360,290,289,188,Normal
1834,D. Türüç,Türkiye,32,71,Konyaspor,177.0,75.0,Left,RM,1.5,333,376,352,360,339,169,Normal
1835,M. Maignan,France,29,87,AC Milan,191.0,89.0,Right,GK,61.0,130,185,334,288,155,61,Normal
1836,A. Robertson,Scotland,31,81,Liverpool,178.0,64.0,Left,LB,18.5,321,383,378,361,372,237,Unique
1837,A. Gunn,Scotland,29,72,Nottingham Forest,196.0,77.0,Right,GK,1.8,93,128,247,232,123,50,Lean
1838,A. Halilović,Croatia,29,70,Fortuna Sittard,170.0,68.0,Left,CAM,1.6,291,377,334,258,286,131,Normal
1839,M. Brozović,Croatia,32,80,Al Nassr,181.0,72.0,Right,CDM,14.0,356,389,364,399,375,236,Lean
1840,A. Kramarić,Croatia,34,81,TSG,177.0,73.0,Right,CAM,12.0,388,401,381,387,358,86,Normal
1841,D. Sinkgraven,Netherlands,29,68,Fortuna Sittard,178.0,67.0,Left,LB,1.1,334,350,342,291,328,194,Lean
1842,A. Saint-Maximin,France,28,77,RC Lens,173.0,67.0,Right,LW,10.5,330,366,429,373,270,78,Stocky
1843,S. Lobotka,Slovakia,30,83,Napoli,170.0,68.0,Right,CM,34.5,316,382,389,360,369,232,Normal
1844,J. Giménez,Uruguay,30,83,Atlético Madrid,186.0,77.0,Right,CB,30.0,275,278,336,361,284,252,Normal
1845,Rafa,Portugal,32,82,SL Benfica,172.0,66.0,Right,CAM,24.0,350,382,430,341,328,130,Lean
1846,S. Uçan,Türkiye,31,69,Beşiktaş JK,182.0,80.0,Right,CM,1.1,338,359,308,322,336,194,Lean
1847,G. Simeone,Argentina,29,76,Torino,181.0,81.0,Right,ST,7.5,351,344,358,371,317,118,Normal
1848,V. Černý,Czechia,27,77,Beşiktaş JK,182.0,73.0,Left,RM,11.0,327,358,399,350,297,113,Lean
1849,B. Kaltak,Vanuatu,31,67,Perth Glory,180.0,84.0,Right,CB,0.7000000000000001,243,272,349,382,278,189,Stocky
1850,23A. Moutari,Niger,28,68-1,Al Fayha,170.0,70.0,Right,LM,1.2,280,301,389,321,290,142,Lean
1851,15Y. Mosquera,Colombia,20,51,Boyacá Chicó FC,178.0,74.0,Right,RWB,0.04,201,199,305,283,200,154,Lean
1852,F. Zampano,Italy,31,72,Modena,177.0,72.0,Right,LB,1.7,299,312,394,352,294,199,Normal
1853,R. Di Gennaro,Italy,31,68,Inter,186.0,80.0,Right,GK,0.65,88,98,229,202,125,41,Normal
1854,25D. Dussaut,Martinique,29,64,UTA Arad,182.0,73.0,Right,RB,0.525,269,294,329,314,280,186,Lean
1855,Rubén Yáñez,Spain,31,73,Real Sporting de Gijón,188.0,80.0,Right,GK,1.6,89,85,242,240,127,40,Normal
1856,15J. Pedroza,Colombia,21,51,Independiente Santa Fe,165.0,65.0,Right,RW,0.05,220,207,359,245,225,85,Lean
1857,B. Celina,Kosovo,28,70,AIK,181.0,66.0,Right,LM,1.6,302,333,383,337,258,72,Lean
1858,22J. Dinenno,Argentina,26,76,Pumas UNAM,186.0,83.0,Right,ST,9.0,345,319,321,393,293,61,Normal
1859,Iza Carcelén,Spain,32,68,Cádiz CF,174.0,70.0,Right,RB,0.8250000000000001,290,331,354,339,337,192,Normal
1860,M. Zaccagni,Italy,30,83,Lazio,177.0,63.0,Right,LW,35.0,374,391,435,371,350,165,Normal
1861,J. Bednarek,Poland,29,80,FC Porto,189.0,77.0,Right,CB,17.5,245,267,276,285,276,240,Normal
1862,H. Wilson,Wales,28,80,Fulham FC,173.0,70.0,Left,RM,21.0,391,406,399,369,321,129,Normal
1863,16E. Redman,Wales,18,44,Newport County,184.0,81.0,Right,CB,0.05,136,122,275,225,157,122,Stocky
1864,Marco Asensio,Spain,29,80,Fenerbahçe SK,182.0,76.0,Left,CAM,20.5,379,408,379,373,320,125,Normal
1865,14K. Morris,England,18,47,Brentford,183.0,72.0,Right,CB,0.02,134,113,267,244,177,145,Lean
1866,David Raya,Spain,29,87,Arsenal,183.0,83.0,Right,GK,54.5,133,162,320,212,149,55,Normal
1867,B. Traoré,Burkina Faso,29,75,Sunderland,181.0,73.0,Left,RW,5.5,356,382,361,345,324,122,Lean
1868,H. Çalhanoğlu,Türkiye,31,86,Inter,178.0,76.0,Right,CDM,47.5,386,427,389,393,418,242,Normal
1869,22D. Bessa,Italy,28,72,Hellas Verona FC,178.0,75.0,Right,CAM,2.3,322,367,352,305,303,167,Lean
1870,23A. Samaris,Greece,33,69,Rio Ave FC,189.0,83.0,Right,CB,0.7000000000000001,306,332,277,343,323,205,Normal
1871,21S. Longo,Italy,28,68,Inter,186.0,78.0,Right,ST,1.2,318,277,349,354,299,97,Lean
1872,25Saúl,Spain,29,77,Sevilla FC,184.0,75.0,Left,CM,10.5,377,365,355,390,374,229,Lean
1873,19L. Milesi,Italy,25,63,Atalanta,189.0,75.0,Left,CB,0.4,142,159,290,224,192,198,Lean
1874,26Andreas Pereira,Brazil,29,77,Fulham FC,178.0,66.0,Right,CAM,10.5,364,396,372,368,379,197,Normal
1875,M. de Roon,Netherlands,34,81,Atalanta,186.0,76.0,Right,CDM,12.0,365,357,326,396,392,249,Normal
1876,A. Belotti,Italy,31,74,Cagliari,181.0,72.0,Right,ST,3.6,337,291,349,372,329,103,Stocky
1877,Lucas Vázquez,Spain,34,77,Bayer 04 Leverkusen,173.0,69.0,Right,RM,3.9,352,389,386,362,361,208,Normal
1878,24D. Henen,Togo,27,66,KV Kortrijk,185.0,73.0,Right,RM,0.9,298,297,347,343,248,63,Lean
1879,24Óliver Torres,Spain,28,79,Sevilla FC,178.0,70.0,Right,CM,17.5,344,390,370,298,356,192,Normal
1880,16Gabriel,Brazil,22,76,Palmeiras,171.0,68.0,Right,CDM,6.0,310,307,381,360,346,236,Normal
1881,R. Gauld,Scotland,29,77,Vancouver Whitecaps FC,169.0,62.0,Left,LM,10.5,354,382,413,314,330,144,Normal
1882,F. Ladapo,England,32,62,Chesterfield,185.0,79.0,Right,ST,0.325,271,246,332,322,247,65,Normal
