ID,Name,Nationality,Team & Contract,foot,Best position,Body type,Age,Overall rating,Height,Weight,Value,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending
3276,J. Eikrem,Na_Norway,Tc_SK Brann,F_Left,Bp_CAM,Bt_Normal,a1,o2,h2,w3,v2,ta3,ts3,tm3,tp2,tme2,td2
3277,E. Helland,Na_Norway,Tc_Bologna,F_Right,Bp_CB,Bt_Lean,a2,o4,h5,w5,v5,ta4,ts2,tm3,tp4,tme3,td5
3278,26T. Pérez,Na_Argentina,Tc_FC Porto,F_Right,Bp_CDM,Bt_Lean,a1,o4,h3,w2,v4,ta3,ts3,tm3,tp3,tme5,td5
3279,P. Müller,Na_Germany,Tc_SSV Jahn Regensburg,F_Right,Bp_CDM,Bt_Normal,a2,o3,h3,w4,v4,ta3,ts3,tm3,tp3,tme3,td4
3280,A. Kayombo,Na_France,Tc_SK Sturm Graz,F_Right,Bp_LW,Bt_Normal,a1,o3,h4,w4,v4,ta4,ts4,tm3,tp3,tme2,td2
3281,26R. León,Na_Argentina,Tc_Racing Club,F_Right,Bp_GK,Bt_Lean,a4,o3,h4,w4,v3,ta1,ts1,tm1,tp1,tme1,td1
3282,26I. Hegglin,Na_Switzerland,Tc_FC Luzern,F_Right,Bp_CAM,Bt_Lean,a4,o2,h4,w4,v2,ta3,ts3,tm2,tp2,tme3,td3
3283,J. Russo,Na_Argentina,Tc_Newell's Old Boys,F_Left,Bp_LM,Bt_Normal,a2,o1,h2,w2,v1,ta2,ts2,tm3,tp2,tme3,td3
3284,24E. Rivamar,Na_Argentina,Tc_Godoy Cruz,F_Right,Bp_CAM,Bt_Normal,a2,o3,h3,w3,v3,ta3,ts4,tm3,tp2,tme3,td3
3285,25E. Zukaj,Na_Albania,Tc_Grasshopper Club Zürich,F_Right,Bp_CB,Bt_Normal,a2,o2,h5,w5,v2,ta1,ts1,tm1,tp2,tme1,td4
3286,25M. Jaime,Na_Argentina,Tc_Newell's Old Boys,F_Right,Bp_RM,Bt_Normal,a2,o2,h1,w1,v2,ta3,ts3,tm4,tp2,tme2,td1
3287,24L. Bollati,Na_Switzerland,Tc_Grasshopper Club Zürich,F_Right,Bp_RB,Bt_Lean,a1,o2,h1,w1,v2,ta1,ts2,tm3,tp1,tme2,td4
3288,F. Sartori,Na_Argentina,Tc_Independiente Rivadavia,F_Right,Bp_ST,Bt_Normal,a3,o4,h2,w4,v4,ta4,ts3,tm4,tp5,tme2,td1
3289,J. Contrera,Na_Argentina,Tc_Club Atlético Sarmiento,F_Left,Bp_CAM,Bt_Normal,a3,o3,h1,w1,v4,ta4,ts5,tm4,tp4,tme3,td2
3290,25E. Orbe,Na_Argentina,Tc_Estudiantes de La Plata,F_Right,Bp_RB,Bt_Lean,a1,o1,h1,w1,v1,ta1,ts1,tm3,tp1,tme2,td3
3291,26A. Al Nakhli,Na_Saudi Arabia,Tc_Al Hazem FC,F_Left,Bp_LB,Bt_Normal,a4,o1,h1,w1,v1,ta1,ts1,tm2,tp1,tme2,td3
3292,F. Al Ghamdi,Na_Saudi Arabia,Tc_Al Ettifaq,F_Right,Bp_CM,Bt_Normal,a2,o1,h1,w2,v1,ta1,ts2,tm2,tp2,tme3,td3
3293,H. Rabea,Na_Saudi Arabia,Tc_Damac FC,F_Right,Bp_CB,Bt_Normal,a3,o1,h1,w1,v1,ta1,ts1,tm2,tp1,tme2,td4
3294,R. Münz,Na_Germany,Tc_SpVgg Greuther Fürth,F_Left,Bp_CB,Bt_Lean,a1,o4,h4,w5,v4,ta3,ts3,tm3,tp3,tme4,td5
3295,T. Köhler,Na_Germany,Tc_VfB Stuttgart II,F_Right,Bp_CB,Bt_Lean,a2,o2,h5,w5,v3,ta2,ts1,tm1,tp2,tme2,td5
3296,S. Innvær,Na_Norway,Tc_Tromsø IL,F_Right,Bp_RM,Bt_Normal,a2,o2,h2,w3,v3,ta3,ts4,tm3,tp3,tme3,td2
3297,J. Reitan-Sunde,Na_Norway,Tc_Rosenborg BK,F_Right,Bp_RM,Bt_Lean,a1,o3,h1,w1,v4,ta3,ts4,tm5,tp2,tme3,td2
3298,N. Colunga,Na_Peru,Tc_Cienciano,F_Right,Bp_ST,Bt_Lean,a2,o2,h4,w4,v2,ta4,ts3,tm1,tp4,tme2,td1
3299,G. Aguirre,Na_Peru,Tc_Cienciano,F_Right,Bp_CM,Bt_Normal,a3,o3,h2,w3,v4,ta3,ts4,tm2,tp4,tme4,td4
3300,Iker Almena,Na_Spain,Tc_Hajduk Split,F_Left,Bp_LM,Bt_Lean,a2,o4,h2,w1,v5,ta3,ts3,tm4,tp2,tme2,td2
3301,M. Barreda,Na_Peru,Tc_Alianza Atlético,F_Right,Bp_ST,Bt_Normal,a3,o2,h1,w3,v3,ta3,ts3,tm2,tp3,tme2,td1
3302,24M. Cervantes,Na_Peru,Tc_FBC Melgar,F_Right,Bp_CDM,Bt_Normal,a2,o2,h1,w2,v2,ta2,ts2,tm2,tp2,tme4,td3
3303,24H. Molyneux,Na_Republic of Ireland,Tc_Charlton Athletic,F_Right,Bp_GK,Bt_Normal,a1,o1,h4,w5,v1,ta1,ts1,tm1,tp1,tme1,td1
3304,25S. Alkaş,Na_Türkiye,Tc_Kasımpaşa SK,F_Right,Bp_ST,Bt_Lean,a1,o1,h5,w2,v1,ta2,ts2,tm1,tp2,tme1,td1
3305,24O. Garau,Na_Italy,Tc_Ternana,F_Left,Bp_LM,Bt_Normal,a2,o1,h1,w1,v1,ta2,ts2,tm2,tp1,tme1,td2
3306,25F. D'Alessio,Na_Italy,Tc_Cittadella,F_Right,Bp_CM,Bt_Lean,a2,o3,h3,w3,v3,ta4,ts4,tm3,tp2,tme4,td4
3307,25I. Román,Na_Chile,Tc_CD Palestino,F_Right,Bp_CB,Bt_Lean,a1,o4,h3,w2,v4,ta1,ts1,tm3,tp4,tme2,td5
3308,J. Kongolo,Na_Belgium,Tc_KRC Genk,F_Right,Bp_CB,Bt_Lean,a1,o3,h4,w3,v4,ta1,ts2,tm3,tp3,tme1,td4
3309,25C. Siciliano,Na_Australia,Tc_Melbourne Victory,F_Right,Bp_GK,Bt_Lean,a2,o1,h4,w5,v1,ta1,ts1,tm1,tp1,tme1,td1
3310,25C. Sagoe Jr,Na_England,Tc_Arsenal,F_Right,Bp_RM,Bt_Lean,a1,o2,h2,w2,v2,ta3,ts3,tm3,tp2,tme2,td2
3311,M. Mina,Na_Colombia,Tc_América de Cali,F_Left,Bp_LB,Bt_Normal,a5,o5,h2,w2,v4,ta4,ts4,tm5,tp3,tme5,td5
3312,25J. Quiñones,Na_Colombia,Tc_Deportes Tolima,F_Right,Bp_CAM,Bt_Lean,a4,o4,h1,w1,v4,ta3,ts4,tm5,tp3,tme5,td4
3313,25R. van Hees,Na_United States,Tc_FC Utrecht,F_Right,Bp_RB,Bt_Normal,a3,o2,h1,w2,v2,ta2,ts2,tm4,tp2,tme4,td4
3314,25E. Lima,Na_Venezuela,Tc_Deportivo La Guaira,F_Left,Bp_GK,Bt_Normal,a5,o3,h3,w5,v1,ta1,ts1,tm1,tp1,tme1,td1
3315,Á. Custodio,Na_Venezuela,Tc_Cusco FC,F_Right,Bp_CB,Bt_Normal,a2,o3,h2,w3,v4,ta2,ts2,tm3,tp2,tme2,td5
3316,26J. Lietaert,Na_Belgium,Tc_Cercle Brugge KSV,F_Right,Bp_CB,Bt_Lean,a2,o2,h5,w4,v3,ta1,ts2,tm1,tp1,tme3,td5
3317,N. Devalckeneer,Na_Belgium,Tc_Royal Antwerp FC,F_Right,Bp_GK,Bt_Lean,a2,o2,h5,w5,v2,ta1,ts1,tm1,tp1,tme1,td1
3318,W. Tamen,Na_England,Tc_Tranmere Rovers,F_Right,Bp_CB,Bt_Lean,a1,o2,h4,w2,v2,ta1,ts1,tm2,tp2,tme1,td4
3319,25R. Maher,Na_Republic of Ireland,Tc_Drogheda United,F_Right,Bp_GK,Bt_Lean,a1,o1,h4,w3,v1,ta1,ts1,tm1,tp1,tme1,td1
3320,25R. Whittaker,Na_Scotland,Tc_Hibernian,F_Right,Bp_RB,Bt_Lean,a1,o1,h3,w1,v1,ta1,ts1,tm2,tp1,tme1,td3
3321,24B. van Driel,Na_Netherlands,Tc_FC Volendam,F_Right,Bp_CAM,Bt_Normal,a1,o1,h2,w2,v2,ta3,ts3,tm2,tp2,tme3,td3
3322,M. de Ligt,Na_Netherlands,Tc_Sparta Rotterdam,F_Right,Bp_CB,Bt_Normal,a2,o2,h5,w3,v2,ta1,ts1,tm1,tp2,tme1,td4
3323,25N. Mayoka-Tika,Na_Belgium,Tc_Royal Charleroi Sporting Club,F_Right,Bp_CM,Bt_Normal,a2,o3,h3,w2,v3,ta4,ts4,tm2,tp3,tme4,td4
3324,25A. Cartillier,Na_France,Tc_AS Monaco,F_Left,Bp_LB,Bt_Normal,a2,o2,h2,w1,v3,ta3,ts3,tm4,tp2,tme4,td4
3325,25T. Portillo,Na_Paraguay,Tc_Cerro Porteño,F_Right,Bp_RM,Bt_Lean,a1,o3,h2,w2,v3,ta5,ts4,tm3,tp3,tme3,td2
3326,A. Thiaré,Na_Senegal,Tc_Dynamo Kyiv,F_Left,Bp_CB,Bt_Lean,a2,o3,h5,w5,v4,ta2,ts2,tm1,tp4,tme2,td4
3327,Y. Issoufou,Na_France,Tc_Montpellier HSC,F_Left,Bp_CAM,Bt_Lean,a1,o3,h3,w1,v4,ta4,ts4,tm4,tp3,tme4,td4
3328,24T. Lucaci,Na_Romania,Tc_CFR Cluj,F_Right,Bp_CAM,Bt_Normal,a1,o1,h1,w2,v1,ta2,ts2,tm3,tp2,tme2,td3
3329,M. Toma,Na_Romania,Tc_FCSB,F_Right,Bp_CAM,Bt_Normal,a1,o3,h1,w1,v4,ta3,ts4,tm5,tp4,tme4,td3
3330,24J. Bal,Na_Netherlands,Tc_Sparta Rotterdam,F_Right,Bp_CAM,Bt_Normal,a1,o2,h2,w2,v2,ta3,ts3,tm2,tp3,tme2,td1
3331,26F. Gaspar,Na_Romania,Tc_Universitatea Craiova,F_Right,Bp_RB,Bt_Lean,a1,o1,h1,w2,v1,ta2,ts3,tm3,tp1,tme2,td3
3332,J. Kusi-Asare,Na_Sweden,Tc_Fulham FC,F_Right,Bp_ST,Bt_Lean,a1,o3,h5,w5,v4,ta3,ts2,tm3,tp4,tme2,td1
3333,26C. Axede,Na_Sweden,Tc_BK Häcken,F_Right,Bp_CB,Bt_Normal,a1,o1,h4,w4,v2,ta1,ts2,tm1,tp2,tme1,td3
3334,26K. Jawla,Na_Sweden,Tc_Djurgårdens IF,F_Right,Bp_ST,Bt_Normal,a1,o2,h2,w3,v2,ta3,ts2,tm3,tp4,tme2,td1
3335,26G. Granström,Na_Sweden,Tc_Djurgårdens IF,F_Right,Bp_CAM,Bt_Stocky,a1,o1,h4,w4,v1,ta3,ts3,tm2,tp3,tme3,td3
3336,25A. Nielsen,Na_Sweden,Tc_Halmstads BK,F_Right,Bp_GK,Bt_Normal,a2,o1,h4,w4,v1,ta1,ts1,tm1,tp1,tme1,td1
3337,D. Gül,Na_Türkiye,Tc_FC Porto,F_Right,Bp_ST,Bt_Normal,a2,o5,h5,w5,v5,ta5,ts4,tm4,tp5,tme5,td2
3338,25L. Svensson,Na_Sweden,Tc_Mjällby AIF,F_Left,Bp_CB,Bt_Normal,a1,o1,h2,w3,v1,ta1,ts1,tm1,tp2,tme1,td4
3339,S. El Jebari,Na_Morocco,Tc_CD Mirandés,F_Right,Bp_RM,Bt_Normal,a2,o4,h2,w2,v4,ta3,ts4,tm4,tp2,tme3,td1
3340,26T. Sandberg,Na_Sweden,Tc_IFK Norrköping,F_Right,Bp_CM,Bt_Normal,a2,o2,h2,w3,v2,ta3,ts3,tm2,tp3,tme3,td3
3341,25L. Jonsson,Na_Sweden,Tc_IFK Norrköping,F_Right,Bp_CAM,Bt_Normal,a2,NA,h4,w3,v1,ta3,ts3,tm2,tp2,tme2,td2
3342,Kim Do Yun,Na_Korea Republic,Tc_Suwon FC,F_Right,Bp_ST,Bt_Normal,a2,o1,h1,w1,v1,ta2,ts2,tm3,tp1,tme1,td1
3343,L. Graham,Na_Scotland,Tc_Dundee FC,F_Left,Bp_CB,Bt_Lean,a2,o3,h4,w4,v4,ta2,ts2,tm2,tp3,tme3,td5
3344,26J. Lindvall,Na_Sweden,Tc_IFK Norrköping,F_Right,Bp_CM,Bt_Normal,a2,o1,h2,w4,v1,ta2,ts2,tm2,tp2,tme3,td3
3345,M. Tait,Na_Scotland,Tc_Livingston FC,F_Left,Bp_LM,Bt_Lean,a1,o2,h1,w2,v3,ta3,ts4,tm3,tp2,tme4,td4
3346,26J. Wilson,Na_Scotland,Tc_Hearts,F_Right,Bp_ST,Bt_Lean,a1,o3,h2,w2,v4,ta4,ts2,tm5,tp4,tme3,td1
3347,26Aitor Gismera,Na_Spain,Tc_Real Betis Balompié,F_Right,Bp_CDM,Bt_Normal,a2,o3,h3,w4,v3,ta2,ts3,tm1,tp3,tme5,td4
3348,M. Kirk,Na_Northern Ireland,Tc_Portsmouth,F_Right,Bp_ST,Bt_Lean,a2,o2,h4,w3,v3,ta4,ts3,tm4,tp4,tme2,td1
3349,25V. Nilsson,Na_Sweden,Tc_Kalmar FF,F_Right,Bp_ST,Bt_Normal,a2,o1,h3,w4,v1,ta2,ts2,tm1,tp2,tme1,td1
3350,25W. Andersson,Na_Sweden,Tc_Kalmar FF,F_Right,Bp_CM,Bt_Normal,a1,o1,h2,w3,v1,ta2,ts2,tm2,tp2,tme3,td3
3351,S. Lawal,Na_Nigeria,Tc_Livingston FC,F_Right,Bp_RM,Bt_Lean,a2,o1,h1,w1,v1,ta3,ts3,tm4,tp1,tme3,td3
3352,25W. Andersson,Na_Sweden,Tc_Kalmar FF,F_Right,Bp_CAM,Bt_Normal,a1,o1,h3,w4,v2,ta2,ts2,tm2,tp3,tme3,td3
3353,Adrián Niño,Na_Spain,Tc_Málaga CF,F_Right,Bp_ST,Bt_Lean,a2,o5,h4,w2,v5,ta5,ts5,tm5,tp5,tme2,td2
3354,25M. Ross,Na_Scotland,Tc_Motherwell FC,F_Right,Bp_CB,Bt_Normal,a1,NA,h2,w1,v1,ta1,ts1,tm1,tp1,tme1,td3
3355,25M. Ferrie,Na_Scotland,Tc_Motherwell FC,F_Right,Bp_ST,Bt_Lean,a1,o1,h2,w4,v1,ta2,ts2,tm3,tp3,tme2,td1
3356,25L. Isa,Na_Sweden,Tc_Kalmar FF,F_Left,Bp_CAM,Bt_Normal,a1,o1,h3,w4,v1,ta2,ts2,tm2,tp2,tme3,td3
3357,25F. Franczak,Na_Poland,Tc_St Johnstone FC,F_Right,Bp_RM,Bt_Normal,a1,o2,h1,w1,v3,ta3,ts3,tm5,tp1,tme2,td3
3358,25L. Kenny,Na_Scotland,Tc_St. Mirren,F_Right,Bp_CB,Bt_Lean,a2,o1,h2,w3,v1,ta1,ts1,tm1,tp2,tme1,td3
3359,25G. Lennon,Na_Northern Ireland,Tc_St. Mirren,F_Right,Bp_CM,Bt_Lean,a1,o1,h1,w2,v1,ta2,ts2,tm3,tp2,tme3,td3
3360,J. Samooja,Na_Finland,Tc_Lecce,F_Right,Bp_GK,Bt_Normal,a2,o2,h5,w5,v3,ta1,ts1,tm1,tp1,tme1,td1
3361,24A. Sanogo,Na_Italy,Tc_Cittadella,F_Right,Bp_RM,Bt_Lean,a1,o1,h2,w3,v1,ta3,ts2,tm4,tp2,tme1,td2
3362,Ricardo Visus,Na_Spain,Tc_Widzew Łódź,F_Right,Bp_CB,Bt_Normal,a4,o4,h5,w5,v4,ta2,ts2,tm1,tp2,tme3,td5
3363,Álvaro Carrillo,Na_Spain,Tc_SD Huesca,F_Right,Bp_CB,Bt_Normal,a4,o4,h3,w2,v4,ta4,ts3,tm3,tp4,tme2,td5
3364,26C. O'Sullivan,Na_Republic of Ireland,Tc_Preston North End,F_Left,Bp_CAM,Bt_Lean,a1,o2,h1,w2,v3,ta2,ts2,tm4,tp2,tme2,td2
3365,26S. Bailey,Na_Wales,Tc_Cork City,F_Left,Bp_CB,Bt_Normal,a2,o1,h3,w4,v1,ta1,ts1,tm1,tp2,tme1,td3
3366,C. Reynolds,Na_Republic of Ireland,Tc_Sligo Rovers,F_Right,Bp_CB,Bt_Normal,a1,o2,h4,w2,v1,ta1,ts2,tm2,tp1,tme3,td4
3367,K. McDonagh,Na_Republic of Ireland,Tc_Sligo Rovers,F_Right,Bp_RM,Bt_Lean,a1,o1,h1,w2,v1,ta3,ts3,tm3,tp1,tme2,td3
3368,D. Patton,Na_Republic of Ireland,Tc_Sligo Rovers,F_Right,Bp_CAM,Bt_Lean,a1,o1,h3,w2,v1,ta3,ts3,tm2,tp2,tme3,td3
3369,25D. Kelly,Na_Republic of Ireland,Tc_Sligo Rovers,F_Left,Bp_LB,Bt_Lean,a1,o1,h1,w2,v1,ta1,ts1,tm2,tp1,tme2,td3
3370,25J. Byrne,Na_Republic of Ireland,Tc_Drogheda United,F_Right,Bp_RM,Bt_Lean,a1,o1,h1,w2,v1,ta2,ts3,tm4,tp1,tme2,td3
3371,24Marcos Sánchez,Na_Spain,Tc_Villarreal CF B,F_Right,Bp_RB,Bt_Normal,a1,o3,h2,w2,v3,ta3,ts3,tm2,tp2,tme4,td4
3372,Zine,Na_Angola,Tc_AEK Athens,F_Right,Bp_ST,Bt_Lean,a3,o5,h3,w4,v5,ta5,ts4,tm5,tp5,tme4,td2
3373,26Isaac,Na_Portugal,Tc_Casa Pia,F_Right,Bp_CB,Bt_Normal,a2,o2,h5,w5,v3,ta1,ts1,tm1,tp2,tme1,td4
3374,R. Yadav,Na_India,Tc_NorthEast United,F_Right,Bp_CB,Bt_Lean,a4,o1,h2,w1,v1,ta1,ts1,tm1,tp1,tme1,td3
3375,L. Fanai,Na_India,Tc_Bengaluru FC,F_Right,Bp_CAM,Bt_Lean,a2,o1,h2,w1,v1,ta2,ts2,tm2,tp2,tme1,td3
3376,25Gorka,Na_Spain,Tc_Getafe CF,F_Left,Bp_LB,Bt_Lean,a1,o3,h4,w4,v3,ta2,ts3,tm3,tp5,tme2,td4
3377,Unai Hernández,Na_Spain,Tc_Al Shabab,F_Right,Bp_CAM,Bt_Lean,a2,o4,h1,w1,v4,ta4,ts4,tm5,tp3,tme4,td3
3378,David López,Na_Spain,Tc_RCD Mallorca,F_Right,Bp_CB,Bt_Normal,a3,o4,h5,w5,v5,ta2,ts2,tm1,tp4,tme2,td5
3379,Fran González,Na_Spain,Tc_Real Madrid,F_Right,Bp_GK,Bt_Normal,a2,o4,h5,w2,v4,ta1,ts1,tm1,tp1,tme1,td1
3380,Guilherme Fernandes,Na_Portugal,Tc_Real Valladolid CF,F_Right,Bp_GK,Bt_Normal,a4,o4,h5,w5,v4,ta1,ts1,tm1,tp1,tme1,td1
3381,Iñaki González,Na_Spain,Tc_UD Las Palmas,F_Right,Bp_CAM,Bt_Normal,a2,o4,h3,w2,v5,ta3,ts4,tm4,tp4,tme5,td5
3382,Selu Diallo,Na_Guinea,Tc_Cultural Leonesa,F_Right,Bp_CAM,Bt_Normal,a2,o3,h4,w3,v4,ta3,ts5,tm5,tp5,tme5,td4
3383,Juanma Herzog,Na_Spain,Tc_UD Las Palmas,F_Right,Bp_CB,Bt_Normal,a2,o5,h4,w5,v5,ta3,ts2,tm3,tp4,tme3,td5
3384,De la Rosa,Na_Spain,Tc_Cádiz CF,F_Right,Bp_RW,Bt_Lean,a2,o4,h1,w1,v4,ta4,ts4,tm5,tp3,tme3,td2
3385,Bruno Iribarne,Na_Spain,Tc_UD Almería,F_Right,Bp_GK,Bt_Normal,a2,o3,h5,w5,v3,ta1,ts1,tm1,tp1,tme1,td1
3386,Egiluz,Na_Spain,Tc_Athletic Club,F_Right,Bp_CB,Bt_Stocky,a4,o5,h4,w4,v5,ta2,ts1,tm2,tp4,tme3,td5
3387,25Unai Ropero,Na_Spain,Tc_CD Eldense,F_Right,Bp_ST,Bt_Normal,a3,o3,h4,w2,v3,ta4,ts3,tm2,tp4,tme2,td1
3388,26F. Facello,Na_Argentina,Tc_Godoy Cruz,F_Right,Bp_RWB,Bt_Normal,a3,o3,h1,w2,v3,ta2,ts2,tm4,tp3,tme3,td4
3389,25L. Toledo Pacheco,Na_Argentina,Tc_Deportivo Riestra,F_Right,Bp_RM,Bt_Normal,a2,o2,h1,w2,v3,ta3,ts3,tm3,tp2,tme4,td4
3390,T. Fernández,Na_Argentina,Tc_Tigre,F_Right,Bp_CB,Bt_Lean,a2,o2,h2,w3,v3,ta2,ts1,tm3,tp3,tme1,td4
3391,25L. Figueredo,Na_Argentina,Tc_Huracán,F_Right,Bp_CB,Bt_Lean,a2,o2,h5,w4,v2,ta3,ts2,tm1,tp3,tme2,td4
3392,A. Quiroga,Na_Argentina,Tc_Central Cordoba SdE,F_Left,Bp_CB,Bt_Normal,a4,o3,h2,w2,v3,ta3,ts2,tm3,tp3,tme2,td5
3393,26M. Roldán,Na_Argentina,Tc_CA Banfield,F_Right,Bp_ST,Bt_Normal,a2,o3,h2,w2,v4,ta4,ts3,tm3,tp4,tme4,td2
3394,25F. Lencioni,Na_Argentina,Tc_Belgrano de Córdoba,F_Right,Bp_RM,Bt_Lean,a4,o4,h2,w4,v4,ta4,ts4,tm4,tp4,tme4,td2
3395,T. Medina,Na_Argentina,Tc_Rio Ave FC,F_Left,Bp_CAM,Bt_Lean,a2,o3,h1,w1,v4,ta3,ts4,tm3,tp2,tme4,td3
3396,M. Troilo,Na_Argentina,Tc_Parma,F_Right,Bp_CB,Bt_Lean,a3,o4,h5,w5,v4,ta2,ts1,tm1,tp3,tme2,td5
3397,M. Ríos,Na_Argentina,Tc_Huracán,F_Right,Bp_RM,Bt_Lean,a2,o1,h1,w1,v1,ta2,ts2,tm3,tp3,tme3,td3
3398,26J. Goyeneche,Na_Argentina,Tc_San Lorenzo de Almagro,F_Right,Bp_CAM,Bt_Lean,a4,o3,h1,w1,v3,ta5,ts4,tm4,tp3,tme4,td2
3399,N. Durán,Na_Argentina,Tc_Huracán,F_Right,Bp_GK,Bt_Lean,a2,o2,h5,w5,v2,ta1,ts1,tm1,tp1,tme1,td1
3400,24J. Serrizuela,Na_Argentina,Tc_Barracas Central,F_Right,Bp_CB,Bt_Lean,a3,o2,h3,w4,v2,ta2,ts1,tm2,tp2,tme2,td4
3401,24L. Cerato,Na_Argentina,Tc_Club Atlético Sarmiento,F_Right,Bp_RM,Bt_Lean,a3,o2,h4,w3,v2,ta5,ts4,tm3,tp4,tme3,td2
3402,25F. Florentin,Na_Argentina,Tc_Barracas Central,F_Right,Bp_CAM,Bt_Lean,a3,o2,h1,w3,v2,ta3,ts3,tm3,tp3,tme3,td4
3403,25F. Aguirre,Na_Argentina,Tc_Barracas Central,F_Right,Bp_ST,Bt_Normal,a3,o3,h4,w5,v3,ta5,ts2,tm2,tp5,tme4,td2
3404,25M. Tasso,Na_Argentina,Tc_Independiente,F_Right,Bp_GK,Bt_Normal,a4,o1,h3,w4,v1,ta1,ts1,tm1,tp1,tme1,td1
3405,25F. Da Rosa,Na_Argentina,Tc_Independiente,F_Left,Bp_CB,Bt_Normal,a4,o3,h3,w3,v3,ta3,ts2,tm2,tp3,tme4,td4
3406,26M. Echeverría,Na_Argentina,Tc_CA Banfield,F_Left,Bp_ST,Bt_Normal,a2,o3,h3,w5,v4,ta5,ts3,tm2,tp5,tme4,td2
3407,M. Cáceres,Na_Argentina,Tc_Talleres,F_Right,Bp_RM,Bt_Lean,a3,o4,h1,w2,v4,ta3,ts4,tm5,tp4,tme5,td4
3408,D. Aquino,Na_Argentina,Tc_Lanús,F_Right,Bp_RM,Bt_Normal,a2,o4,h1,w1,v4,ta4,ts4,tm5,tp2,tme3,td2
3409,25M. Espíndola,Na_Argentina,Tc_Tigre,F_Right,Bp_CAM,Bt_Normal,a2,o2,h2,w1,v3,ta3,ts4,tm3,tp3,tme3,td3
3410,25A. Berizovsky,Na_Argentina,Tc_Defensa y Justicia,F_Right,Bp_CB,Bt_Lean,a1,o2,h4,w3,v3,ta1,ts1,tm1,tp2,tme1,td4
3411,V. Moreno,Na_Argentina,Tc_Tigre,F_Right,Bp_CB,Bt_Lean,a3,o3,h1,w1,v3,ta3,ts2,tm4,tp4,tme3,td4
3412,T. Cravero,Na_Argentina,Tc_Central Cordoba SdE,F_Right,Bp_CDM,Bt_Lean,a3,o1,h1,w1,v1,ta1,ts2,tm1,tp1,tme2,td3
3413,26L. Pérez,Na_Argentina,Tc_Huracán,F_Right,Bp_CAM,Bt_Normal,a2,o3,h4,w4,v3,ta3,ts4,tm3,tp5,tme4,td4
3414,25L. Arnijas,Na_Argentina,Tc_Unión La Calera,F_Right,Bp_CM,Bt_Normal,a2,o2,h5,w5,v2,ta2,ts3,tm2,tp4,tme3,td3
3415,T. Ayala,Na_Argentina,Tc_Club Atlético Sarmiento,F_Right,Bp_GK,Bt_Lean,a4,o3,h4,w4,v3,ta1,ts1,tm1,tp1,tme1,td1
3416,T. Adoryán,Na_Armenia,Tc_CA Banfield,F_Right,Bp_CAM,Bt_Lean,a4,o4,h2,w1,v4,ta5,ts4,tm3,tp3,tme5,td3
3417,25C. Viganoni,Na_Argentina,Tc_Tigre,F_Right,Bp_ST,Bt_Normal,a2,o3,h3,w5,v3,ta4,ts3,tm3,tp5,tme4,td2
3418,L. Lavagnino,Na_Argentina,Tc_Independiente,F_Right,Bp_GK,Bt_Lean,a2,o3,h5,w4,v4,ta1,ts1,tm1,tp1,tme1,td1
3419,A. Bibout,Na_Cameroon,Tc_KRC Genk,F_Right,Bp_ST,Bt_Lean,a2,o2,h5,w5,v3,ta3,ts2,tm3,tp4,tme2,td1
3420,O. Valencia,Na_Panama,Tc_New York Red Bulls,F_Left,Bp_LB,Bt_Normal,a2,o3,h2,w2,v3,ta4,ts4,tm2,tp2,tme4,td4
3421,L. Brennan,Na_United States,Tc_Atlanta United,F_Right,Bp_RM,Bt_Lean,a2,o2,h2,w1,v3,ta3,ts3,tm2,tp2,tme3,td3
3422,T. Hall,Na_United States,Tc_Inter Miami,F_Right,Bp_CDM,Bt_Normal,a1,o2,h2,w2,v2,ta2,ts2,tm2,tp1,tme2,td4
3423,L. Dellavalle,Na_Italy,Tc_Los Angeles FC,F_Right,Bp_CB,Bt_Normal,a2,o2,h5,w4,v2,ta2,ts2,tm1,tp1,tme1,td4
3424,G. McElroy,Na_Republic of Ireland,Tc_Sligo Rovers,F_Right,Bp_CB,Bt_Lean,a2,o2,h5,w3,v2,ta2,ts1,tm1,tp2,tme3,td4
3425,Mario Maroto,Na_Spain,Tc_Real Valladolid CF,F_Right,Bp_CAM,Bt_Normal,a2,o3,h2,w1,v3,ta3,ts4,tm2,tp2,tme4,td4
3426,26Iker Aldai,Na_Spain,Tc_SD Eibar,F_Right,Bp_CB,Bt_Lean,a3,NA,h3,w3,v2,ta1,ts1,tm1,tp1,tme1,td4
3427,Cuenca,Na_Spain,Tc_Real Zaragoza,F_Right,Bp_ST,Bt_Normal,a3,o4,h4,w4,v5,ta5,ts5,tm4,tp5,tme5,td4
3428,25Asier,Na_Spain,Tc_CD Mirandés,F_Left,Bp_CDM,Bt_Lean,a3,o2,h3,w2,v1,ta2,ts2,tm1,tp3,tme3,td3
3429,26Luis Roldán,Na_Spain,Tc_Elche CF,F_Right,Bp_CM,Bt_Normal,a3,o2,h3,w3,v3,ta3,ts2,tm2,tp3,tme4,td3
3430,25Diego Rosales,Na_Spain,Tc_CD Mirandés,F_Left,Bp_CB,Bt_Lean,a2,o2,h2,w1,v3,ta2,ts2,tm1,tp2,tme2,td5
